source_id,ra,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,ruwe,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,dr2_radial_velocity,dr2_radial_velocity_error,l,b,ecl_lon
5971165458238079104,251.13086529860055,-37.813045126333556,0.62876314,14.871821138452233,1.2880131,-24.344757557114818,1.6762463,4.3059714977476915,1.0534285,1.3927412,45.570625,19.992022,14.296249,20.351301,28.903292,18.59272,2.0482328,,,345.36254042395325,5.175251656196631,254.63422822194104
5971037158999618944,251.1822423962378,-38.48287310774304,0.58064675,4.728876305157158,1.7009977,-8.07116533202526,2.1994827,-6.688056058815773,1.1020229,0.9117145,119.593735,20.593288,6.099572,21.596743,7.3640456,20.26244,0.8586866,,,344.87791609670836,4.709219810420217,254.76868381782208
5971240942273899904,253.0381822641629,-38.19107623383005,0.636047,6.714798752492977,1.2209045,-25.226389226417854,1.757774,-15.668537951194432,1.1132082,1.5698655,126.55264,20.295681,5.465914,21.191694,40.811775,18.579592,2.3625154,,,346.0390320122619,3.7799676890361034,256.2307969301636
5971082720020851200,251.809844988882,-38.36133039530696,0.65320283,11.818282561590845,1.0763953,-9.978831766909767,1.434072,-1.1996966461370253,1.0812736,1.9265794,80.81482,20.154053,10.00424,21.15284,22.22307,18.858618,1.6770247,,,345.2900841325651,4.413026961854502,255.25902270469928
5971218234774724480,253.05887702652365,-38.385612156236355,0.85394096,4.596275508969274,1.4412636,11.4433818283357,1.5662404,-15.585090994696904,1.0900732,1.5693995,149.3729,19.82348,8.780779,20.22979,59.108418,17.990112,2.77685,,,345.8984856607384,3.6441825579219915,256.2718766239169
5971218234779360896,253.052805330128,-38.38408178543894,0.7376758,5.55305413460554,1.6139045,-6.962493060126176,2.2284849,-9.157069879752328,1.303293,1.0594606,113.37273,20.628578,,,,,,,,345.8966517264507,3.6488348368160746,256.2667761032073
5971037262074698624,251.12594293010736,-38.49627127117125,0.68593496,5.132638507848945,1.4140878,-5.065945520090946,1.5377553,-9.354186421651388,1.1519902,1.4766,79.744026,20.20214,13.482575,20.489643,26.879372,18.76991,2.130864,,,344.83895155487215,4.733987632698842,254.72510684495515
5971165664421282432,251.20211524418787,-37.81066582020565,0.013244821,5.738614160279307,0.024599923,-11.733277556757589,0.027951716,-21.261572847843826,0.021793118,1.1207744,901.37354,14.546617,187.08148,16.040339,362.17526,13.346325,1.4547586,,,345.40106649313196,5.133997715518833,254.69175700088846
5971218440938357120,253.13797051611232,-38.36825230331498,0.7965874,5.1446360730756195,1.3319227,-10.037181674275347,2.1001332,-6.5830568979815975,1.444915,1.1885211,81.25246,20.609367,,,,,,,,345.95127959915686,3.607170280117059,256.33366271114465
5971126528644969216,251.9758514919546,-37.846858340882406,0.6319587,5.385333867331623,1.2257047,-12.22823938933568,1.4611294,-3.072637668149651,1.140624,2.6097963,104.45118,19.604351,,,,,,,,345.76946972179184,4.6440410685331495,255.32496452088614
5971218574083887104,253.15960600734527,-38.34519690078859,0.7551164,6.542249370360999,1.3708117,-15.48667212021799,1.678196,-7.83196207853478,1.1890738,1.4628233,91.17266,20.257893,10.507285,20.987013,43.45804,18.555206,2.3902237,,,345.9799249204891,3.6086134566129626,256.3482912254843
5971218578410468096,253.15868385991436,-38.35880190739866,0.00823852,4.9342123028965235,0.013830753,-25.838567401073497,0.01711204,-5.539755615309071,0.013906473,0.7773852,8379.905,9.951357,3191.6282,10.277857,6753.768,9.446025,1.207287,,,345.9689073028654,3.6005691370069823,256.3492372775816
5971218612770902016,253.1351780167627,-38.33806549256084,0.7856222,14.857551824507762,1.7194644,-25.569075178433927,1.9809636,11.284570068026788,1.3245721,2.2650948,72.52197,19.956802,11.449308,20.57195,36.2158,18.477467,2.0557067,,,345.97331590969225,3.627963870394819,256.3276453317149
5971126666125899648,251.80211266847567,-37.99311226158574,0.7414783,5.978325518228474,1.5160227,-16.878352305552593,1.8218229,6.052493343367113,1.2917355,2.4939575,90.99516,20.065582,15.723508,20.363785,34.33912,18.636917,2.1202471,,,345.56866613650794,4.654891984504873,255.203432625212
5971037571316463744,251.06737007955422,-38.51651137830968,0.7732671,7.991513843185668,1.584919,-11.77508367527767,3.0397475,-7.055413916516858,1.6337583,0.96955293,92.10899,20.805737,5.5262656,21.169832,9.918338,20.160141,1.2814674,,,344.79360080457974,4.755619525995533,254.68066397723558
5971037605672090752,251.05268530888998,-38.51295482134469,0.66531634,4.568102843351513,1.6896406,-10.874965924902304,1.952345,-2.5864713642115635,1.3195314,1.1251929,148.12242,20.075588,9.032926,20.796692,12.785806,19.181265,1.3325438,,,344.7888029025695,4.766656261902975,254.66831730525035
5971218853254630400,253.14227420357443,-38.32905523858665,0.76180226,4.837975210601343,1.4507049,-12.875784295181576,2.08574,-9.030471003675167,1.1913531,1.2328491,111.026924,20.456274,6.17971,21.367435,47.83189,19.072203,1.8193835,,,345.9838364884351,3.6293529775487574,256.3322638514696
5971126940963213184,251.78184192056406,-37.96922079928536,0.9326412,8.98484193869103,2.0292137,-12.584099127696613,2.4450598,4.312148152979544,1.8049734,1.6872457,57.005928,20.628994,11.547901,21.951303,8.468523,19.43027,1.4842597,,,345.57667382597725,4.6825033876117805,255.18379544413568
5971127044040895104,251.81261638412875,-37.94714504945979,0.9781212,5.066518813115478,1.4446356,-6.338191346940141,2.0407681,-12.854577488891787,1.6013749,2.0643435,96.67626,20.210878,14.940471,20.764553,29.891027,18.828062,1.9398218,,,345.6092981224753,4.678162544393437,255.20580687708232
5971166317263264256,251.3797680514081,-37.88555047025613,0.8768323,12.17714643528608,1.5849209,6.589366427879508,1.9648083,-10.21533971583385,1.3250934,2.1554084,82.65951,20.284967,14.630054,20.741917,32.717865,18.834646,2.0769014,,,345.4351613312546,4.978648921376419,254.84625726024424
5971127215881780864,251.83759958369149,-37.93730530871286,0.50299966,4.734416773293644,1.1457646,-14.953228300192631,1.2403289,1.8451639270536886,1.013182,1.2833401,80.4446,20.260979,11.024079,20.689287,36.217678,18.76349,2.160702,,,345.62958012205826,4.669422873255896,255.2247623333415
5971083956971471232,251.7759410585782,-38.289175231165295,0.5016913,5.359969611916724,0.92203325,-3.677424889171916,1.3266565,-11.360745863224974,0.878298,1.4207652,172.292,20.11666,12.6985035,20.849213,33.91231,18.57993,2.1027784,,,345.32823022912567,4.479865787806481,255.22192289387212
